District ID;Electoral district ;Delegation;Actively registred ;Eligible voters;Ratio
151;Nabeul 1;Nabeul;34985;89435;39,12
151;Nabeul 1;"Dar Chaabane El Fehri 
";19575;27234;71,88
151;Nabeul 1;Beni Khiar;19103;26478;72,15
151;Nabeul 1;Korba;24250;43185;56,15
151;Nabeul 1;Menzel Temime;22511;43793;51,4
151;Nabeul 1;El Mida;9152;18478;49,53
151;Nabeul 1;Kelibia;22837;39331;58,06
151;Nabeul 1;Hammam Guezaz;6723;11031;60,95
151;Nabeul 1;Haouaria;15888;29309;54,21
152;Nabeul 2;Takelsa;9161;15439;59,34
152;Nabeul 2;Slimen;19386;29002;66,84
152;Nabeul 2;Menzel Bouzelfa;16606;25673;64,68
152;Nabeul 2;Beni Khalled;15481;25893;59,79
152;Nabeul 2;Grombalia;26488;44263;59,84
152;Nabeul 2;Bou Argoub;12915;19737;65,44
152;Nabeul 2;Hammamet;38445;59327;64,8
160;Zaghouan;Zaghouan;14648;34035;43,04
160;Zaghouan;Zriba;8802;15974;55,1
160;Zaghouan;Bir Mchergua;8047;15519;51,85
160;Zaghouan;Fahs;17044;34787;49
160;Zaghouan;Nadhour;11732;19720;59,49
160;Zaghouan;Saouaf;4993;8719;57,27
170;Bizerte;Bizerte Nord;38174;102706;37,17
170;Bizerte;Zarzouna;11833;19581;60,43
170;Bizerte;Bizerte Sud;15285;31391;48,69
170;Bizerte;Sejnane;13912;28892;48,15
170;Bizerte;Joumine;7007;22486;31,16
170;Bizerte;Mateur;15322;35144;43,6
170;Bizerte;Ghazala;7370;19697;37,42
170;Bizerte;Menzel Bourguiba;25055;47729;52,49
170;Bizerte;Tinja;8414;16010;52,55
170;Bizerte;Utique;4898;13212;37,07
170;Bizerte;Ghar El Meleh;6793;13772;49,32
170;Bizerte;Menzel Jemil;17166;35926;47,78
170;Bizerte;El Alia;9606;18917;50,78
170;Bizerte;Ras Jebel;21850;40318;54,19
210;Beja;Beja nord;24763;66795;37,07
210;Beja;Beja sud;15414;26754;57,61
210;Beja;Amdoun;8191;16370;50,04
210;Beja;Nefza;22757;39755;57,24
210;Beja;Tboursouk;7518;17566;42,8
210;Beja;Tibar;4202;8829;47,59
210;Beja;Testour;12307;23857;51,59
210;Beja;Goubellat;3907;11007;35,5
210;Beja;Mejez El Bab;14014;28290;49,54
220;Jendouba;Jendouba;25953;82309;31,53
220;Jendouba;Jendouba Nord;14183;27218;52,11
220;Jendouba;Bousalem;14851;29188;50,88
220;Jendouba;Tabarka;19935;37218;53,56
220;Jendouba;Ain Draham;14390;29634;48,56
220;Jendouba;Fernana;15228;34930;43,6
220;Jendouba;Ghardimaou;16437;48163;34,13
220;Jendouba;Oued Mliz;8643;15932;54,25
220;Jendouba;Balta Bou Aouane;9715;27541;35,27
230; Kef;Kef Ouest;13934;21772;64
230;Kef;Kef Est;19444;59849;32,49
230;Kef;Nebeur;10569;18041;58,58
230;Kef;Sakiet Sidi Youssef;6757;6902;97,9
230;Kef;tajerouine;12655;23429;54,01
230;Kef;Kalaat Senan;5889;12142;48,5
230;Kef;Kalaat Khesbah;3150;5357;58,8
230;Kef;Jerissa;5058;9032;56
230;Kef;Ksour;5827;11455;50,87
230;Kef;Dahmani;9533;19572;48,71
230;Kef;El Sers;10309;17923;57,52
240;Siliana;Siliana Nord;12204;36014;33,89
240;Siliana;Siliana Sud;10720;20499;52,3
240;Siliana;Bouarada;7717;13794;55,94
240;Siliana;Gaafour;7469;11978;62,36
240;Siliana;El Krib;7343;17723;41,43
240;Siliana;Bourouis;5242;9516;55,09
240;Siliana;Makthar;9946;21603;46,04
240;Siliana;Rouhia;7622;17069;44,65
240;Siliana;Kesra;4881;11792;41,39
240;Siliana;Bargou;5182;10648;48,67
240;Siliana;Laroussa;3555;6924;51,34
310;Sousse;Sousse Medina;16695;57184;29,2
310;Sousse;Sousse Riadh;24716;38462;64,26
310;Sousse;Sousse Jaouhara;35319;51568;68,49
310;Sousse;"Sousse Sidi
Abdelhamid";15683;28908;54,25
310;Sousse;Hammam Sousse;17761;27216;65,26
310;Sousse;Akouda;12878;20642;62,39
310;Sousse;Kalaa Kebira;16786;38175;43,97
310;Sousse;Sidi Bou Ali;7514;13470;55,78
310;Sousse;Hergla;3432;6275;54,69
310;Sousse;Enfidha;16416;32499;50,51
310;Sousse;Bouficha;11004;17265;63,74
310;Sousse;Kondar;3521;8303;42,41
310;Sousse;Sidi El Heni;4125;8402;49,1
310;Sousse;Msaken;31117;72234;43,08
